epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.78198,1.29119,5.06475,1.25204,0,0,0,0,0.79415,4.2973,0.95815,5.25e-05,5.25e-05,5.25e-05
2,8.08771,0.82978,4.69433,0.99304,0,0,0,0,0.678,3.98356,0.81697,0.000105371,0.000105371,0.000105371
3,11.4509,0.74547,4.35857,0.92694,0.01617,0.47944,0.08564,0.07485,0.64459,3.76259,0.81322,0.000156065,0.000156065,0.000156065
4,14.7113,0.71253,4.10984,0.90768,0.01733,0.87222,0.13789,0.12143,0.63085,3.43155,0.83075,0.00020458,0.00020458,0.00020458
5,17.911,0.73882,4.00726,0.90917,0.39505,0.31606,0.1791,0.15739,0.64265,3.26405,0.83546,0.0002302,0.0002302,0.0002302
6,21.1706,0.69945,3.78265,0.90276,0.69749,0.14491,0.20465,0.17415,0.63088,3.15664,0.83303,0.00022525,0.00022525,0.00022525
7,24.3971,0.71637,3.62444,0.90389,0.69322,0.1759,0.30779,0.26249,0.64187,2.97673,0.83971,0.0002203,0.0002203,0.0002203
8,27.6332,0.70277,3.50413,0.91073,0.50944,0.4193,0.3979,0.34335,0.59718,2.73769,0.84569,0.00021535,0.00021535,0.00021535
9,30.8619,0.69072,3.32968,0.89399,0.4088,0.46081,0.39456,0.3367,0.65278,2.62828,0.8539,0.0002104,0.0002104,0.0002104
10,34.1172,0.70265,3.26767,0.91959,0.44816,0.40582,0.44284,0.37445,0.62682,2.55134,0.85036,0.00020545,0.00020545,0.00020545
11,37.3726,0.70002,2.99929,0.92335,0.47339,0.46688,0.42391,0.36348,0.62818,2.31822,0.86812,0.0002005,0.0002005,0.0002005
12,40.6256,0.70608,3.05333,0.91336,0.44019,0.47403,0.45053,0.3921,0.59257,2.24662,0.87804,0.00019555,0.00019555,0.00019555
13,43.8625,0.68195,2.84751,0.91086,0.31902,0.54037,0.38716,0.33372,0.58715,2.22228,0.88939,0.0001906,0.0001906,0.0001906
14,47.1363,0.67794,2.70465,0.90397,0.45047,0.53674,0.46067,0.39954,0.57164,2.11966,0.8879,0.00018565,0.00018565,0.00018565
15,50.3853,0.64651,2.66735,0.90286,0.37059,0.52215,0.4704,0.40703,0.62137,2.07582,0.90296,0.0001807,0.0001807,0.0001807
16,53.6299,0.66017,2.46297,0.90255,0.40054,0.55052,0.51226,0.44311,0.54409,2.08761,0.88685,0.00017575,0.00017575,0.00017575
17,56.8773,0.66521,2.36411,0.91014,0.39797,0.56911,0.52491,0.45406,0.59054,1.97054,0.89455,0.0001708,0.0001708,0.0001708
18,60.1665,0.64157,2.3995,0.89911,0.39677,0.53723,0.55418,0.4832,0.52819,1.97271,0.86844,0.00016585,0.00016585,0.00016585
19,63.4006,0.63763,2.26313,0.89095,0.39898,0.6394,0.51578,0.44708,0.55325,1.92576,0.87097,0.0001609,0.0001609,0.0001609
20,66.6424,0.62208,2.15038,0.89995,0.34805,0.7032,0.49094,0.43615,0.54907,2.10737,0.87123,0.00015595,0.00015595,0.00015595
21,69.8769,0.61733,2.09808,0.88398,0.29833,0.50366,0.49601,0.44407,0.53337,1.97847,0.86792,0.000151,0.000151,0.000151
22,73.1311,0.63542,2.10485,0.89953,0.41636,0.57877,0.53914,0.47093,0.53935,1.91531,0.87118,0.00014605,0.00014605,0.00014605
23,76.3522,0.61921,2.04934,0.89392,0.37415,0.58312,0.52945,0.46581,0.55113,2.04272,0.87301,0.0001411,0.0001411,0.0001411
24,79.599,0.61891,1.95693,0.87703,0.45111,0.58004,0.53747,0.47654,0.56845,2.11619,0.87769,0.00013615,0.00013615,0.00013615
25,82.8602,0.61868,1.87424,0.88603,0.44424,0.6599,0.5491,0.48185,0.55923,1.98739,0.87164,0.0001312,0.0001312,0.0001312
26,86.1506,0.59789,1.8199,0.88141,0.4259,0.54885,0.51545,0.45836,0.58818,2.36151,0.89137,0.00012625,0.00012625,0.00012625
27,89.3646,0.59717,1.75063,0.87929,0.44474,0.47848,0.46898,0.41765,0.57592,2.18654,0.88335,0.0001213,0.0001213,0.0001213
28,92.6254,0.60525,1.76916,0.88455,0.3826,0.52905,0.49127,0.43622,0.56325,2.24712,0.87353,0.00011635,0.00011635,0.00011635
29,95.8851,0.59521,1.70435,0.89197,0.44657,0.4673,0.44548,0.38695,0.56184,2.45276,0.87439,0.0001114,0.0001114,0.0001114
30,99.1477,0.58427,1.63168,0.86937,0.46365,0.49481,0.47071,0.40547,0.57664,2.32937,0.87543,0.00010645,0.00010645,0.00010645
31,102.393,0.57687,1.63738,0.87575,0.40589,0.54252,0.53788,0.46643,0.5783,2.0593,0.88022,0.0001015,0.0001015,0.0001015
32,105.636,0.56873,1.59437,0.8697,0.44379,0.47047,0.49664,0.4407,0.58092,2.15661,0.87765,9.655e-05,9.655e-05,9.655e-05
33,108.877,0.56772,1.56594,0.8749,0.41518,0.5124,0.51763,0.46287,0.54801,2.07275,0.8733,9.16e-05,9.16e-05,9.16e-05
34,112.128,0.5813,1.55816,0.87121,0.44532,0.56644,0.53463,0.47095,0.53613,2.03565,0.86969,8.665e-05,8.665e-05,8.665e-05
35,115.378,0.56452,1.49761,0.86799,0.41823,0.47901,0.52396,0.4676,0.57337,2.25086,0.87769,8.17e-05,8.17e-05,8.17e-05
36,118.654,0.55885,1.49669,0.8666,0.43116,0.61134,0.56656,0.49626,0.5401,1.99413,0.86528,7.675e-05,7.675e-05,7.675e-05
37,121.931,0.55799,1.46028,0.86857,0.43453,0.54172,0.52937,0.46761,0.5362,2.10373,0.86076,7.18e-05,7.18e-05,7.18e-05
38,125.185,0.55207,1.51044,0.86023,0.44197,0.49717,0.52083,0.45628,0.56775,2.26017,0.87011,6.685e-05,6.685e-05,6.685e-05
39,128.42,0.53391,1.39516,0.8604,0.41994,0.48368,0.49439,0.43995,0.55234,2.25879,0.87745,6.19e-05,6.19e-05,6.19e-05
40,131.71,0.54313,1.41145,0.86067,0.45613,0.51742,0.51251,0.45291,0.54871,2.07045,0.87853,5.695e-05,5.695e-05,5.695e-05
41,149.431,0.57335,1.87328,0.87369,0.43672,0.47777,0.47371,0.41267,0.57031,2.16984,0.87471,5.2e-05,5.2e-05,5.2e-05
42,152.633,0.54151,1.74672,0.86923,0.44218,0.5308,0.50769,0.43672,0.61621,2.11076,0.87319,4.705e-05,4.705e-05,4.705e-05
43,155.848,0.54691,1.79519,0.86252,0.41765,0.64969,0.52031,0.45801,0.56015,1.88543,0.86754,4.21e-05,4.21e-05,4.21e-05
44,159.058,0.49811,1.65113,0.83972,0.38124,0.48665,0.50422,0.44617,0.55454,2.12234,0.86254,3.715e-05,3.715e-05,3.715e-05
45,162.247,0.50528,1.62633,0.84698,0.37029,0.51398,0.50957,0.45244,0.56405,2.00373,0.86643,3.22e-05,3.22e-05,3.22e-05
46,165.446,0.51368,1.56469,0.83544,0.36881,0.5638,0.51758,0.4564,0.56939,1.9388,0.87399,2.725e-05,2.725e-05,2.725e-05
47,168.629,0.49648,1.51353,0.83886,0.36852,0.55317,0.49825,0.44133,0.56355,2.01719,0.8722,2.23e-05,2.23e-05,2.23e-05
48,171.831,0.49114,1.48192,0.84795,0.38146,0.50352,0.4816,0.42343,0.55846,2.1364,0.87203,1.735e-05,1.735e-05,1.735e-05
49,175.024,0.49072,1.50101,0.84582,0.38346,0.51927,0.46664,0.41135,0.56049,2.15079,0.86996,1.24e-05,1.24e-05,1.24e-05
50,178.241,0.49725,1.51661,0.8507,0.38147,0.52522,0.46061,0.40363,0.56155,2.11851,0.86876,7.45e-06,7.45e-06,7.45e-06
